Chemical_Name,CAS_Number,SMILES,Endpoint,Value,Unit,Species,Test_Guideline,Data_Quality
1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,LOEC,0.135,mg/L,Oncorhynchus mykiss,OECD 203,medium
2-Methylnaphthalene,91-57-6,Cc1ccc2ccccc2c1,LOEC,0.209,mg/L,Danio rerio,OECD 202,high
1-Chloronaphthalene,90-13-1,Clc1cccc2ccccc12,LOEC,0.008,mg/L,Danio rerio,OECD 203,high
Ethanol,64-17-5,CCO,LC50,4725.0,mg/L,Daphnia magna,OECD 202,medium
Propanol,71-23-8,CCCO,LC50,2310.0,mg/L,Daphnia magna,OECD 203,high
Butanol,71-36-3,INVALID_SMILES,LC50,765.0,mg/L,Pimephales promelas,OECD 202,high
Pentanol,71-41-0,,EC50,114.0,mg/L,Pimephales promelas,OECD 203,medium
Hexanol,111-27-3,CCCCCCO,EC50,18.5,mg/L,Oncorhynchus mykiss,OECD 202,high
Octanol,111-87-5,CCCCCCCCO,EC50,2.52,mg/L,Oncorhynchus mykiss,OECD 203,high
Benzene,71-43-2,c1ccccc1,NOEC,165.0,mg/L,Danio rerio,OECD 202,medium
Chlorobenzene,108-90-7,c1ccc(Cl)cc1,NOEC,1.08,mg/L,Danio rerio,OECD 203,high
Bromobenzene,108-86-1,c1ccc(Br)cc1,NOEC,1.425,mg/L,Daphnia magna,OECD 202,high
Fluorobenzene,462-06-6,c1ccc(F)cc1,LOEC,130.0,mg/L,Daphnia magna,OECD 203,medium
Nitrobenzene,98-95-3,O=[N+]([O-])c1ccccc1,LOEC,0.84,mg/L,Pimephales promelas,OECD 202,high
Phenol,108-95-2,c1ccc(cc1)O,LOEC,13.75,mg/L,Pimephales promelas,OECD 203,high
2-Chlorophenol,95-57-8,Oc1ccccc1Cl,LC50,0.045,mg/L,Oncorhynchus mykiss,OECD 202,medium
4-Chlorophenol,106-48-9,Oc1ccc(Cl)cc1,LC50,0.076,mg/L,Oncorhynchus mykiss,OECD 203,high
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,LC50,0.002,mg/L,Danio rerio,OECD 202,high
Pyridine,110-86-1,c1ccncc1,EC50,252.0,mg/L,Danio rerio,OECD 203,medium
2-Chloropyridine,109-09-1,Clc1ccccn1,EC50,16.5,mg/L,Daphnia magna,OECD 202,high
3-Chloropyridine,626-60-8,Clc1cccnc1,EC50,16.2,mg/L,Daphnia magna,OECD 203,high
2-Bromopyridine,109-04-6,Brc1ccccn1,NOEC,1.995,mg/L,Pimephales promelas,OECD 202,medium
Aniline,62-53-3,Nc1ccccc1,NOEC,85.0,mg/L,Pimephales promelas,OECD 203,high
3-Chloroaniline,108-42-9,Nc1cccc(Cl)c1,NOEC,0.4725,mg/L,Oncorhynchus mykiss,OECD 202,high
4-Chloroaniline,106-47-8,Nc1ccc(Cl)cc1,LOEC,0.385,mg/L,Oncorhynchus mykiss,OECD 203,medium
"3,4-Dichloroaniline",95-76-1,Nc1ccc(Cl)c(Cl)c1,LOEC,0.0045,mg/L,Danio rerio,OECD 202,high
Naphthalene,91-20-3,c1ccc2ccccc2c1,LOEC,1.71,mg/L,Danio rerio,OECD 203,high
1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,LC50,0.15,mg/L,Daphnia magna,OECD 202,medium
2-Methylnaphthalene,91-57-6,Cc1ccc2ccccc2c1,LC50,0.231,mg/L,Daphnia magna,OECD 203,high
1-Chloronaphthalene,90-13-1,Clc1cccc2ccccc12,LC50,0.0088,mg/L,Pimephales promelas,OECD 202,high
Ethanol,64-17-5,INVALID_SMILES,EC50,4050.0,mg/L,Pimephales promelas,OECD 203,medium
Propanol,71-23-8,,EC50,1995.0,mg/L,Oncorhynchus mykiss,OECD 202,high
Butanol,71-36-3,CCCCO,EC50,850.0,mg/L,Oncorhynchus mykiss,OECD 203,high
Pentanol,71-41-0,CCCCCO,NOEC,126.0,mg/L,Danio rerio,OECD 202,medium
Hexanol,111-27-3,CCCCCCO,NOEC,20.35,mg/L,Danio rerio,OECD 203,high
Octanol,111-87-5,CCCCCCCCO,NOEC,2.16,mg/L,Daphnia magna,OECD 202,high
Benzene,71-43-2,c1ccccc1,LOEC,142.5,mg/L,Daphnia magna,OECD 203,medium
Chlorobenzene,108-90-7,c1ccc(Cl)cc1,LOEC,1.2,mg/L,Pimephales promelas,OECD 202,high
Bromobenzene,108-86-1,c1ccc(Br)cc1,LOEC,1.575,mg/L,Pimephales promelas,OECD 203,high
Fluorobenzene,462-06-6,c1ccc(F)cc1,LC50,143.0,mg/L,Oncorhynchus mykiss,OECD 202,medium
Nitrobenzene,98-95-3,O=[N+]([O-])c1ccccc1,LC50,0.72,mg/L,Oncorhynchus mykiss,OECD 203,high
Phenol,108-95-2,c1ccc(cc1)O,LC50,11.875,mg/L,Danio rerio,OECD 202,high
2-Chlorophenol,95-57-8,Oc1ccccc1Cl,EC50,0.05,mg/L,Danio rerio,OECD 203,medium
4-Chlorophenol,106-48-9,Oc1ccc(Cl)cc1,EC50,0.084,mg/L,Daphnia magna,OECD 202,high
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,EC50,0.0022,mg/L,Daphnia magna,OECD 203,high
Pyridine,110-86-1,c1ccncc1,NOEC,216.0,mg/L,Pimephales promelas,OECD 202,medium
2-Chloropyridine,109-09-1,Clc1ccccn1,NOEC,14.25,mg/L,Pimephales promelas,OECD 203,high
3-Chloropyridine,626-60-8,Clc1cccnc1,NOEC,18.0,mg/L,Oncorhynchus mykiss,OECD 202,high
2-Bromopyridine,109-04-6,Brc1ccccn1,LOEC,2.205,mg/L,Oncorhynchus mykiss,OECD 203,medium
Aniline,62-53-3,Nc1ccccc1,LOEC,93.5,mg/L,Danio rerio,OECD 202,high
3-Chloroaniline,108-42-9,Nc1cccc(Cl)c1,LOEC,0.405,mg/L,Danio rerio,OECD 203,high
4-Chloroaniline,106-47-8,Nc1ccc(Cl)cc1,LC50,0.3325,mg/L,Daphnia magna,OECD 202,medium
"3,4-Dichloroaniline",95-76-1,Nc1ccc(Cl)c(Cl)c1,LC50,0.005,mg/L,Daphnia magna,OECD 203,high
Naphthalene,91-20-3,c1ccc2ccccc2c1,LC50,1.89,mg/L,Pimephales promelas,OECD 202,high
1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,EC50,0.165,mg/L,Pimephales promelas,OECD 203,medium
2-Methylnaphthalene,91-57-6,INVALID_SMILES,EC50,0.198,mg/L,Oncorhynchus mykiss,OECD 202,high
1-Chloronaphthalene,90-13-1,,EC50,0.0076,mg/L,Oncorhynchus mykiss,OECD 203,high
Ethanol,64-17-5,CCO,NOEC,4500.0,mg/L,Danio rerio,OECD 202,medium
Propanol,71-23-8,CCCO,NOEC,2205.0,mg/L,Danio rerio,OECD 203,high
Butanol,71-36-3,CCCCO,NOEC,935.0,mg/L,Daphnia magna,OECD 202,high
