Descriptor Name,Full Scientific Name,Source Library,Scientific Category,Functional Description & Toxicology Significance
Chi0n,Kier-Hall / Randic Valence-normalized Connectivity Index of Order 0,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi0n).
Chi0v,Kier-Hall / Randic Valence-modified Connectivity Index of Order 0,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi0v).
Chi1,Kier-Hall / Randic Simple Connectivity Index of Order 1,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi1).
Chi1n,Kier-Hall / Randic Valence-normalized Connectivity Index of Order 1,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi1n).
Chi1v,Kier-Hall / Randic Valence-modified Connectivity Index of Order 1,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi1v).
Chi2n,Kier-Hall / Randic Valence-normalized Connectivity Index of Order 2,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi2n).
Chi2v,Kier-Hall / Randic Valence-modified Connectivity Index of Order 2,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi2v).
Chi3n,Kier-Hall / Randic Valence-normalized Connectivity Index of Order 3,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi3n).
Chi3v,Kier-Hall / Randic Valence-modified Connectivity Index of Order 3,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi3v).
Chi4n,Kier-Hall / Randic Valence-normalized Connectivity Index of Order 4,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi4n).
Chi4v,Kier-Hall / Randic Valence-modified Connectivity Index of Order 4,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi4v).
EState_VSA1,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 1,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA10,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 10,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA11,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 11,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA2,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 2,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA3,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 3,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA4,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 4,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA5,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 5,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA6,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 6,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA7,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 7,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA8,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 8,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
EState_VSA9,EState Descriptor mapped on Van der Waals Surface Area (VSA) Bin 9,RDKit,Electrotopological/Surface Area,Electrotopological State (E-State) values mapped onto Van der Waals surface area bins.
ExactMolWt,Exact Monoisotopic Molecular Weight,RDKit,Constitutional,Molecular weight calculated as the sum of atomic masses.
FpDensityMorgan1,Fpdensitymorgan1,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: FpDensityMorgan1)."
FpDensityMorgan2,Fpdensitymorgan2,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: FpDensityMorgan2)."
FpDensityMorgan3,Fpdensitymorgan3,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: FpDensityMorgan3)."
FractionCSP3,Fractioncsp3,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: FractionCSP3)."
HallKierAlpha,Hallkieralpha,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: HallKierAlpha)."
HeavyAtomCount,Heavyatomcount,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: HeavyAtomCount)."
HeavyAtomMolWt,Heavyatommolwt,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: HeavyAtomMolWt)."
Ipc,Information Power Content (Ipc) Index,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: Ipc)."
Kappa1,Kier Molecular Shape Index of Order 1,RDKit,Topological Shape,Kier molecular shape index describing spatial dimensions and degree of branching (Order: 1).
Kappa2,Kier Molecular Shape Index of Order 2,RDKit,Topological Shape,Kier molecular shape index describing spatial dimensions and degree of branching (Order: 2).
Kappa3,Kier Molecular Shape Index of Order 3,RDKit,Topological Shape,Kier molecular shape index describing spatial dimensions and degree of branching (Order: 3).
LabuteASA,Labuteasa,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: LabuteASA)."
MaxAbsEStateIndex,Maxabsestateindex,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MaxAbsEStateIndex)."
MaxAbsPartialCharge,Maxabspartialcharge,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MaxAbsPartialCharge)."
MaxEStateIndex,Maxestateindex,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MaxEStateIndex)."
MaxPartialCharge,Maxpartialcharge,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MaxPartialCharge)."
MinAbsEStateIndex,Minabsestateindex,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MinAbsEStateIndex)."
MinAbsPartialCharge,Minabspartialcharge,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MinAbsPartialCharge)."
MinEStateIndex,Minestateindex,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MinEStateIndex)."
MinPartialCharge,Minpartialcharge,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MinPartialCharge)."
MolLogP,Wildman-Crippen Octanol-Water Partition Coefficient (logP),RDKit,Physicochemical,Wildman-Crippen octanol-water partition coefficient (logP) representing molecular lipophilicity.
MolMR,Wildman-Crippen Molecular Refractivity (MR),RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: MolMR)."
MolWt,Average Molecular Weight,RDKit,Constitutional,Molecular weight calculated as the sum of atomic masses.
NHOHCount,Nhohcount,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NHOHCount)."
NOCount,Nocount,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NOCount)."
NumAliphaticCarbocycles,Numaliphaticcarbocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAliphaticCarbocycles)."
NumAliphaticHeterocycles,Numaliphaticheterocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAliphaticHeterocycles)."
NumAliphaticRings,Numaliphaticrings,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAliphaticRings)."
NumAmideBonds,Numamidebonds,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAmideBonds)."
NumAromaticCarbocycles,Numaromaticcarbocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAromaticCarbocycles)."
NumAromaticHeterocycles,Numaromaticheterocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAromaticHeterocycles)."
NumAromaticRings,Numaromaticrings,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAromaticRings)."
NumAtomStereoCenters,Numatomstereocenters,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumAtomStereoCenters)."
NumBridgeheadAtoms,Numbridgeheadatoms,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumBridgeheadAtoms)."
NumHAcceptors,Numhacceptors,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumHAcceptors)."
NumHDonors,Numhdonors,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumHDonors)."
NumHeteroatoms,Numheteroatoms,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumHeteroatoms)."
NumHeterocycles,Numheterocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumHeterocycles)."
NumRadicalElectrons,Numradicalelectrons,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumRadicalElectrons)."
NumRotatableBonds,Numrotatablebonds,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumRotatableBonds)."
NumSaturatedCarbocycles,Numsaturatedcarbocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumSaturatedCarbocycles)."
NumSaturatedHeterocycles,Numsaturatedheterocycles,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumSaturatedHeterocycles)."
NumSaturatedRings,Numsaturatedrings,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumSaturatedRings)."
NumSpiroAtoms,Numspiroatoms,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumSpiroAtoms)."
NumUnspecifiedAtomStereoCenters,Numunspecifiedatomstereocenters,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumUnspecifiedAtomStereoCenters)."
NumValenceElectrons,Numvalenceelectrons,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: NumValenceElectrons)."
PEOE_VSA1,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 1,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA10,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 10,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA11,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 11,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA12,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 12,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA13,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 13,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA14,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 14,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA2,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 2,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA3,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 3,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA4,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 4,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA5,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 5,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA6,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 6,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA7,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 7,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA8,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 8,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
PEOE_VSA9,PEOE Descriptor mapped on Van der Waals Surface Area (VSA) Bin 9,RDKit,Electrotopological/Surface Area,PEOE (Partial Equalization of Orbital Electronegativities) partial charge descriptor mapped onto Van der Waals surface area bins.
Phi,Phi,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: Phi)."
RingCount,Ringcount,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: RingCount)."
SMR_VSA1,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 1,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA10,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 10,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA2,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 2,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA3,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 3,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA4,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 4,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA5,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 5,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA6,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 6,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA7,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 7,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA8,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 8,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SMR_VSA9,SMR Descriptor mapped on Van der Waals Surface Area (VSA) Bin 9,RDKit,Electrotopological/Surface Area,Wildman-Crippen Molar Refractivity mapped onto Van der Waals surface area bins.
SPS,Sps,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: SPS)."
SlogP_VSA1,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 1,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA10,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 10,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA11,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 11,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA12,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 12,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA2,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 2,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA3,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 3,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA4,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 4,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA5,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 5,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA6,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 6,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA7,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 7,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA8,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 8,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
SlogP_VSA9,SlogP Descriptor mapped on Van der Waals Surface Area (VSA) Bin 9,RDKit,Electrotopological/Surface Area,Wildman-Crippen SlogP (lipophilicity) mapped onto Van der Waals surface area bins.
TPSA,Topological Polar Surface Area (TPSA),RDKit,Physicochemical,"Topological Polar Surface Area, measuring the surface sum of all polar atoms (nitrogen, oxygen, and attached hydrogens)."
VSA_EState1,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState1,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState10,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState10,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState2,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState2,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState3,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState3,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState4,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState4,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState5,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState5,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState6,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState6,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState7,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState7,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState8,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState8,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
VSA_EState9,VSA Descriptor mapped on Van der Waals Surface Area (VSA) Bin EState9,RDKit,Electrotopological/Surface Area,Surface area descriptor mapped onto molecular property bins.
fr_Al_COO,Substructure Fragment Count - Al Coo,RDKit,Functional Group Fragment,Counts the number of Al COO functional groups or fragments present in the molecule.
fr_Al_OH,Substructure Fragment Count - Al Oh,RDKit,Functional Group Fragment,Counts the number of Al OH functional groups or fragments present in the molecule.
fr_Al_OH_noTert,Substructure Fragment Count - Al Oh Notert,RDKit,Functional Group Fragment,Counts the number of Al OH noTert functional groups or fragments present in the molecule.
fr_ArN,Substructure Fragment Count - Arn,RDKit,Functional Group Fragment,Counts the number of ArN functional groups or fragments present in the molecule.
fr_Ar_COO,Substructure Fragment Count - Ar Coo,RDKit,Functional Group Fragment,Counts the number of Ar COO functional groups or fragments present in the molecule.
fr_Ar_N,Substructure Fragment Count - Ar N,RDKit,Functional Group Fragment,Counts the number of Ar N functional groups or fragments present in the molecule.
fr_Ar_NH,Substructure Fragment Count - Ar Nh,RDKit,Functional Group Fragment,Counts the number of Ar NH functional groups or fragments present in the molecule.
fr_Ar_OH,Substructure Fragment Count - Ar Oh,RDKit,Functional Group Fragment,Counts the number of Ar OH functional groups or fragments present in the molecule.
fr_COO,Substructure Fragment Count - Coo,RDKit,Functional Group Fragment,Counts the number of COO functional groups or fragments present in the molecule.
fr_COO2,Substructure Fragment Count - Coo2,RDKit,Functional Group Fragment,Counts the number of COO2 functional groups or fragments present in the molecule.
fr_C_O,Substructure Fragment Count - C O,RDKit,Functional Group Fragment,Counts the number of C O functional groups or fragments present in the molecule.
fr_C_O_noCOO,Substructure Fragment Count - C O Nocoo,RDKit,Functional Group Fragment,Counts the number of C O noCOO functional groups or fragments present in the molecule.
fr_C_S,Substructure Fragment Count - C S,RDKit,Functional Group Fragment,Counts the number of C S functional groups or fragments present in the molecule.
fr_HOCCN,Substructure Fragment Count - Hoccn,RDKit,Functional Group Fragment,Counts the number of HOCCN functional groups or fragments present in the molecule.
fr_Imine,Substructure Fragment Count - Imine,RDKit,Functional Group Fragment,Counts the number of Imine functional groups or fragments present in the molecule.
fr_NH0,Substructure Fragment Count - Nh0,RDKit,Functional Group Fragment,Counts the number of NH0 functional groups or fragments present in the molecule.
fr_NH1,Substructure Fragment Count - Nh1,RDKit,Functional Group Fragment,Counts the number of NH1 functional groups or fragments present in the molecule.
fr_NH2,Substructure Fragment Count - Nh2,RDKit,Functional Group Fragment,Counts the number of NH2 functional groups or fragments present in the molecule.
fr_N_O,Substructure Fragment Count - N O,RDKit,Functional Group Fragment,Counts the number of N O functional groups or fragments present in the molecule.
fr_Ndealkylation1,Substructure Fragment Count - Ndealkylation1,RDKit,Functional Group Fragment,Counts the number of Ndealkylation1 functional groups or fragments present in the molecule.
fr_Ndealkylation2,Substructure Fragment Count - Ndealkylation2,RDKit,Functional Group Fragment,Counts the number of Ndealkylation2 functional groups or fragments present in the molecule.
fr_Nhpyrrole,Substructure Fragment Count - Nhpyrrole,RDKit,Functional Group Fragment,Counts the number of Nhpyrrole functional groups or fragments present in the molecule.
fr_SH,Substructure Fragment Count - Sh,RDKit,Functional Group Fragment,Counts the number of SH functional groups or fragments present in the molecule.
fr_aldehyde,Substructure Fragment Count - Aldehyde,RDKit,Functional Group Fragment,Counts the number of aldehyde functional groups or fragments present in the molecule.
fr_alkyl_carbamate,Substructure Fragment Count - Alkyl Carbamate,RDKit,Functional Group Fragment,Counts the number of alkyl carbamate functional groups or fragments present in the molecule.
fr_alkyl_halide,Substructure Fragment Count - Alkyl Halide,RDKit,Functional Group Fragment,Counts the number of alkyl halide functional groups or fragments present in the molecule.
fr_allylic_oxid,Substructure Fragment Count - Allylic Oxid,RDKit,Functional Group Fragment,Counts the number of allylic oxid functional groups or fragments present in the molecule.
fr_amide,Substructure Fragment Count - Amide,RDKit,Functional Group Fragment,Counts the number of amide functional groups or fragments present in the molecule.
fr_amidine,Substructure Fragment Count - Amidine,RDKit,Functional Group Fragment,Counts the number of amidine functional groups or fragments present in the molecule.
fr_aniline,Substructure Fragment Count - Aniline,RDKit,Functional Group Fragment,Counts the number of aniline functional groups or fragments present in the molecule.
fr_aryl_methyl,Substructure Fragment Count - Aryl Methyl,RDKit,Functional Group Fragment,Counts the number of aryl methyl functional groups or fragments present in the molecule.
fr_azide,Substructure Fragment Count - Azide,RDKit,Functional Group Fragment,Counts the number of azide functional groups or fragments present in the molecule.
